Date,adj close_aapl,close_aapl,high_aapl,low_aapl,open_aapl,volume_aapl
2014-08-01,,24.03249931335449,24.155000686645508,23.70249938964844,23.725000381469727,194044000
2014-08-04,-0.11913871765136719,23.897499084472656,24.145000457763672,23.792499542236328,24.092500686645508,159832000
2014-08-05,-0.10370445251464844,23.780000686645508,23.920000076293945,23.59000015258789,23.84000015258789,223732000
2014-08-06,-0.03529930114746094,23.739999771118164,23.8700008392334,23.677499771118164,23.6875,154232000
2014-08-07,-0.0022182464599609375,23.6200008392334,23.987499237060547,23.52499961853028,23.732500076293945,186844000
2014-08-08,0.057653427124019885,23.684999465942383,23.70499992370605,23.31999969482422,23.565000534057617,167460000
2014-08-11,0.27716064453125,23.997499465942383,24.020000457763672,23.709999084472656,23.8174991607666,146340000
2014-08-12,-0.004432678222649145,23.99250030517578,24.21999931335449,23.90250015258789,24.01000022888184,135180000
2014-08-13,0.28160667419432883,24.309999465942383,24.309999465942383,24.01000022888184,24.037500381469727,127664000
2014-08-14,0.05765151977539418,24.375,24.39249992370605,24.200000762939453,24.332500457763672,112464000
2014-08-15,0.10642814636230469,24.4950008392334,24.54750061035156,24.21500015258789,24.475000381469727,195804000
2014-08-18,0.26165008544921875,24.790000915527344,24.842500686645508,24.4950008392334,24.622499465942383,190288000
2014-08-19,0.3037700653076172,25.13249969482422,25.170000076293945,24.82999992370605,24.852500915527344,277596000
2014-08-20,0.008867263793945312,25.14249992370605,25.272499084472656,24.987499237060547,25.11000061035156,210796000
2014-08-21,0.0022201538085901973,25.145000457763672,25.23500061035156,25.02750015258789,25.14249992370605,133912000
2014-08-22,0.16408157348633168,25.32999992370605,25.36750030517578,25.04750061035156,25.07250022888184,176736000
2014-08-25,0.04877662658691406,25.38500022888184,25.542499542236328,25.31999969482422,25.44750022888184,161080000
2014-08-26,-0.14412498474120383,25.22249984741211,25.375,25.21500015258789,25.354999542236328,132608000
2014-08-27,0.27495384216307883,25.53249931335449,25.64249992370605,25.174999237060547,25.2549991607666,209476000
2014-08-28,0.026597976684570312,25.5625,25.69499969482422,25.38999938964844,25.397499084472656,273840000
2014-08-29,0.0554351806640625,25.625,25.725000381469727,25.549999237060547,25.71500015258789,178380000
2014-09-02,0.17739486694335938,25.825000762939453,25.934999465942383,25.68000030517578,25.76499938964844,214256000
2014-09-03,-0.9667644500732422,24.73500061035156,25.799999237060547,24.645000457763672,25.77499961853028,501684000
2014-09-04,-0.18181610107421875,24.530000686645508,25.022499084472656,24.44750022888184,24.71249961853028,342872000
2014-09-05,0.18848037719726918,24.74250030517578,24.84749984741211,24.57749938964844,24.700000762939453,233828000
2014-09-08,-0.13527107238769887,24.59000015258789,24.82749938964844,24.512500762939453,24.825000762939453,185426800
2014-09-09,-0.08203887939453125,24.497499465942383,25.770000457763672,24.03499984741211,24.770000457763672,759385200
2014-09-10,0.6674175262451172,25.25,25.27750015258789,24.440000534057617,24.502500534057617,403478400
2014-09-11,0.09534454345703125,25.357500076293945,25.36000061035156,24.905000686645508,25.102500915527344,249412400
2014-09-12,0.05100250244140625,25.415000915527344,25.54750061035156,25.270000457763672,25.302499771118164,250504400
2014-09-15,-0.006654739379886365,25.40749931335449,25.762500762939453,25.36000061035156,25.70249938964844,245266000
2014-09-16,-0.17073440551757457,25.21500015258789,25.315000534057617,24.72249984741211,24.950000762939453,267632400
2014-09-17,0.15964508056640625,25.395000457763672,25.450000762939453,25.147499084472656,25.3174991607666,243706000
2014-09-18,0.04656982421875,25.44750022888184,25.58749961853028,25.38999938964844,25.482500076293945,149197600
2014-09-19,-0.18404006958007457,25.239999771118164,25.58749961853028,25.125,25.57250022888184,283609600
2014-09-22,0.022169113159176135,25.26499938964844,25.53499984741211,25.145000457763672,25.450000762939453,211153600
2014-09-23,0.3503456115722656,25.65999984741211,25.73500061035156,25.13500022888184,25.14999961853028,253608800
2014-09-24,-0.19734954833984375,25.4375,25.71249961853028,25.299999237060547,25.540000915527344,240687200
2014-09-25,-0.8603153228759766,24.467500686645508,25.177499771118164,24.43000030517578,25.127500534057617,400368000
2014-09-26,0.6385879516601562,25.1875,25.1875,24.600000381469727,24.63249969482422,249482000
2014-09-29,-0.1419143676757777,25.02750015258789,25.11000061035156,24.65749931335449,24.662500381469727,199065200
2014-09-30,0.1419143676757777,25.1875,25.38500022888184,25.13249969482422,25.20249938964844,221056400
2014-10-01,-0.34812355041503906,24.795000076293945,25.17250061035156,24.674999237060547,25.147499084472656,205965200
2014-10-02,0.15964317321777344,24.975000381469727,25.05500030517578,24.51000022888184,24.8174991607666,191031200
2014-10-03,-0.062084197998046875,24.905000686645508,25.052499771118164,24.76000022888184,24.86000061035156,173878400
2014-10-06,0.0,24.905000686645508,25.162500381469727,24.854999542236328,24.987499237060547,148204800
2014-10-07,-0.19290542602539062,24.6875,25.030000686645508,24.6825008392334,24.857500076293945,168376800
2014-10-08,0.4545536041259801,25.200000762939453,25.27750015258789,24.57749938964844,24.690000534057617,229618800
2014-10-09,0.04877662658691051,25.2549991607666,25.59499931335449,25.15250015258789,25.38500022888184,309506000
2014-10-10,-0.06429862976074219,25.1825008392334,25.50749969482422,25.075000762939453,25.17250061035156,265326400
2014-10-13,-0.20399856567382812,24.95249938964844,25.44499969482422,24.95249938964844,25.332500457763672,214333600
2014-10-14,-0.2350330352783203,24.6875,25.1299991607666,24.64249992370605,25.09749984741211,254754400
2014-10-15,-0.2682991027832031,24.38500022888184,24.787500381469727,23.795000076293945,24.49250030517578,403734400
2014-10-16,-0.28382110595703125,24.065000534057617,24.43000030517578,23.852500915527344,23.887500762939453,288618000
